Date_s,Open_s,High_s,Low_s,Close_s,AdjClose_s,Volume_s,Date_m,Open_m,High_m,Low_m,Close_m,AdjClose_m,Volume_m
7/7/2020,252,254,248,248,248,13451200,7/7/2020,4988.866211,5011.712891,4982.333984,4987.082031,4987.082031,72834600
7/8/2020,248,256,246,248,248,32663100,7/8/2020,4987.082031,5080.251953,4985.01709,5076.173828,5076.173828,73499000
7/9/2020,250,280,250,266,266,253142900,7/9/2020,5076.173828,5111.563965,5041.930176,5052.793945,5052.793945,79794300
7/10/2020,268,270,258,258,258,50930900,7/10/2020,5052.793945,5076.520996,5022.169922,5031.255859,5031.255859,67684500
7/13/2020,258,264,252,258,258,30131900,7/13/2020,5031.255859,5075.098145,5024.934082,5064.446777,5064.446777,65331900
7/14/2020,258,266,252,260,260,59224400,7/14/2020,5064.446777,5079.12207,5053.722168,5079.12207,5079.12207,71530500
7/15/2020,260,268,258,258,258,25673600,7/15/2020,5079.12207,5116.463867,5069.380859,5075.797852,5075.797852,82580500
7/16/2020,272,284,262,264,264,203813000,7/16/2020,5075.797852,5107.259766,5075.797852,5098.374023,5098.374023,68710400
7/17/2020,266,268,258,260,260,27321800,7/17/2020,5098.374023,5110.430176,5073.557129,5079.584961,5079.584961,61709100
7/20/2020,256,262,254,256,256,23324500,7/20/2020,5079.584961,5100.191895,5031.888184,5051.105957,5051.105957,68632100
7/21/2020,256,264,254,258,258,31566600,7/21/2020,5051.105957,5135.559082,5047.085938,5114.708984,5114.708984,83156800
7/22/2020,260,262,256,256,256,21670100,7/22/2020,5114.708984,5142.043945,5099.566895,5110.187012,5110.187012,79454100
7/23/2020,260,268,254,260,260,47295400,7/23/2020,5110.220215,5162.97998,5110.220215,5145.009766,5145.009766,98800000
7/24/2020,260,260,256,256,256,14183700,7/24/2020,5145.01123,5149.589844,5074.492188,5082.991211,5082.991211,97013800
7/27/2020,258,260,252,254,254,29708300,7/27/2020,5082.991211,5116.666016,5080.121094,5116.666016,5116.666016,103523300
7/28/2020,254,254,250,252,252,23142900,7/28/2020,5116.666016,5143.286133,5097.418945,5112.98877,5112.98877,91890400
7/29/2020,250,252,242,248,248,30832600,7/29/2020,5111.109863,5149.629883,5091.399902,5149.629883,5149.629883,80750000
7/30/2020,248,250,242,244,244,16672700,7/30/2020,5111.112793,5149.626953,5091.399902,5149.626953,5149.626953,80749900
8/3/2020,246,248,228,232,232,40436300,8/3/2020,5149.626953,5157.272949,4928.467773,5006.223145,5006.223145,83815200
8/4/2020,234,240,228,238,238,14965400,8/4/2020,5006.223145,5075.001953,5006.223145,5075.001953,5075.001953,73766600
8/5/2020,240,242,230,240,240,19586200,8/5/2020,5075.001953,5127.050781,5059.088867,5127.050781,5127.050781,84611300
8/6/2020,242,260,238,258,258,73434600,8/6/2020,5127.050781,5187.963867,5127.050781,5178.271973,5178.271973,90452400
8/7/2020,270,280,260,260,260,227156100,8/7/2020,5178.271973,5187.374023,5119.683105,5143.893066,5143.893066,91282400
8/10/2020,246,262,246,252,252,36076200,8/10/2020,5157.833984,5157.833984,5157.833984,5157.833984,5157.833984,0
8/11/2020,262,262,252,256,256,18861100,8/11/2020,5157.930176,5201.450195,5157.930176,5190.169922,5190.169922,88400000
8/12/2020,256,258,250,254,254,23168600,8/12/2020,5190.166016,5235.52002,5178.458984,5233.452148,5233.452148,96807400
8/13/2020,256,256,252,256,256,17965600,8/13/2020,5233.452148,5279.349121,5218.413086,5239.25,5239.25,84601700
8/14/2020,250,258,250,250,250,23779300,8/14/2020,5239.25,5255.374023,5221.919922,5247.689941,5247.689941,70397600
8/18/2020,250,266,250,256,256,44131100,8/18/2020,5247.689941,5316.132813,5243.995117,5295.173828,5295.173828,95642400
8/19/2020,256,260,254,254,254,14694700,8/19/2020,5295.173828,5327.315918,5268.506836,5272.810059,5272.810059,92676400
